country_code,city,city_id,rel_id,lat,lon,population,wikidata
FR,Argenteuil,39,103245,48.9479069,2.2481797,104282.0,Q181946
FR,Montreuil,40,129423,48.8623357,2.4412184,104139.0,Q193370
FR,Dunkerque,41,139610,51.0347708,2.3772525,92005.0,Q45797
FR,Nouméa,42,377752,-22.2745264,166.442419,91386.0,Q9733
FR,Avignon,43,102478,43.9493143,4.8060329,89683.0,Q6397
FR,Poitiers,44,132348,46.5802596,0.340196,87435.0,Q6616
FR,Fort-de-France,45,290031,14.6027962,-61.0676724,87216.0,Q81621
FR,Pau,46,162431,43.2957547,-0.3685668,79798.0,Q132671
FR,Calais,47,286380,50.9488,1.87468,73636.0,Q6454
FR,Ajaccio,48,73283,41.9263991,8.7376029,66809.0,Q40104
FR,Troyes,49,414972,48.2971626,4.0746257,60280.0,Q5489
FR,Chartres,50,276905,48.4470039,1.4866387,38889.0,Q130272
FR,Papeete,51,5829526,-17.5384014,-149.5661868,26050.0,Q130800
FR,Koumac,52,378435,-20.5613596,164.2811715,3690.0,Q9725
FR,La Foa,53,378407,-21.709921,165.8261772,3323.0,Q9727
