country_code,country,city,city_id,rel_id,population,wikidata,lat,lon,parking,place_of_worship,school,bench,restaurant,fuel,cafe,fast_food,bank,waste_basket,post_box,pharmacy,bicycle_parking,toilets,kindergarten,recycling,shelter,grave_yard,drinking_water,post_office,pub,bar,hospital,atm,parking_space,police,hunting_stand,vending_machine,telephone,townhall,fire_station,fountain,public_building,doctors,community_centre,library,clinic,social_facility,car_wash,dentist,waste_disposal,marketplace,bus_station,university,college,parking_entrance,swimming_pool,theatre,taxi,veterinary
DE,Germany,Solingen,46,62699,164205.0,Q2942,51.1712468,7.0838996,416,58,137,288,85,32,48,54,27,24,46,38,26,13,59,67,12,2,6,14,22,5,6,22,15,5,1,12,20,5,10,1,5,22,4,2,0,6,7,8,1,1,3,0,1,6,0,1,4,1
DE,Germany,Oldenburg,47,62409,163830.0,Q2936,53.138975300000006,8.214601700000001,680,54,75,395,188,34,61,97,64,94,123,44,179,55,70,125,76,2,5,21,32,19,5,20,3,11,1,214,101,6,7,5,20,53,5,15,0,31,17,17,1,4,2,16,3,12,0,10,9,6
DE,Germany,Ludwigshafen am Rhein,48,62347,163340.0,Q2910,49.479236,8.439117,489,63,68,200,167,29,55,68,39,40,69,44,43,14,42,113,90,0,0,17,97,11,7,9,4,9,7,116,42,5,8,17,16,90,1,10,2,26,8,32,0,2,8,0,5,13,0,7,6,8
DE,Germany,Leverkusen,49,62449,160819.0,Q2938,51.0324743,6.9881194,741,70,89,208,108,24,37,50,39,45,83,39,25,9,47,131,85,3,12,28,41,6,5,21,2,3,1,20,56,2,11,8,6,23,3,4,0,6,9,7,8,2,4,1,1,11,0,2,22,4
DE,Germany,Herne,50,62396,154417.0,Q2904,51.538039399999995,7.219985,501,53,83,95,63,20,22,44,25,24,38,29,24,7,50,63,27,5,0,5,34,2,11,5,4,3,0,5,31,4,11,1,26,11,2,6,0,5,9,10,0,6,0,0,0,10,0,4,4,2
DE,Germany,Darmstadt,51,62581,154002.0,Q2973,49.872775,8.651177,831,66,88,731,225,26,93,104,43,202,106,39,339,42,65,159,61,2,22,16,45,21,5,29,38,8,42,143,59,4,5,50,12,49,15,11,3,12,9,19,2,3,1,68,1,15,1,15,17,3
DE,Germany,Heidelberg,52,285864,152113.0,Q2966,49.40935820000001,8.694724,763,71,52,1645,240,20,139,102,53,534,130,50,302,45,108,217,159,1,30,24,35,29,33,40,54,9,111,194,76,3,11,70,20,50,16,10,2,28,8,18,5,10,1,61,17,11,0,9,24,6
DE,Germany,Neuss,53,163307,151875.0,Q2948,51.198177799999996,6.6916476,1162,70,102,862,107,25,41,113,36,352,106,36,195,24,69,360,51,5,2,34,55,6,6,16,8,6,8,220,75,3,10,28,6,40,5,11,0,36,7,23,0,8,0,1,3,38,0,5,18,11
DE,Germany,Regensburg,54,62411,145000.0,Q2978,49.0195333,12.0974869,1277,106,104,416,225,39,102,79,50,130,92,42,149,44,69,202,18,6,6,22,32,31,5,28,3,8,1,119,71,2,13,50,3,45,4,16,5,68,17,19,4,1,4,10,4,65,0,7,9,4
DE,Germany,Paderborn,55,148074,143659.0,Q2971,51.7177044,8.752653,1006,93,74,2093,151,37,64,106,48,589,121,39,426,75,96,206,73,3,2,53,54,15,6,27,0,6,56,476,49,3,10,44,1,78,35,18,1,29,27,45,4,4,3,6,4,72,0,6,9,11
DE,Germany,Göttingen,56,191361,134212.0,Q3033,51.5327604,9.9352051,2651,68,50,2899,136,25,102,97,59,1974,104,36,3345,38,106,242,51,2,7,27,40,10,8,52,3,7,67,491,53,12,18,35,18,419,17,30,4,55,20,76,146,3,1,32,30,4,0,5,20,8
DE,Germany,Ingolstadt,57,62381,127886.0,Q3004,48.7630165,11.4250395,496,59,48,136,158,27,62,51,49,25,88,31,113,37,40,114,4,4,4,14,19,24,5,23,7,3,19,64,45,4,20,21,17,32,1,7,8,17,19,19,2,1,1,2,2,78,0,4,8,3
DE,Germany,Würzburg,58,62464,124700.0,Q2999,49.79245,9.932966,843,104,84,645,226,37,73,73,55,132,125,49,187,63,41,149,70,2,1,12,46,14,20,11,18,6,8,280,77,7,13,84,39,33,5,13,1,33,21,13,14,1,2,101,8,71,0,8,14,2
DE,Germany,Wolfsburg,59,62418,122457.0,Q3014,52.4205588,10.786168199999999,656,64,84,366,126,33,39,44,38,108,94,33,74,31,39,97,28,18,14,13,32,4,2,19,895,5,62,75,49,14,24,21,9,25,5,4,3,1,16,25,6,1,1,3,0,50,0,5,6,5
DE,Germany,Ulm,60,62495,121648.0,Q3012,48.397394399999996,9.993275500000001,920,73,96,842,181,18,87,77,56,223,87,33,192,46,78,167,20,2,6,21,25,39,13,10,11,8,36,149,41,16,15,39,13,50,17,7,7,17,6,14,2,2,3,9,2,13,0,8,5,4
DE,Germany,Fürth,61,62374,119808.0,Q3075,49.477263,10.989616,470,36,46,270,143,14,51,64,32,101,63,32,63,13,82,84,16,0,2,14,18,14,2,9,3,2,43,75,50,6,15,16,8,27,7,6,0,10,9,14,0,2,0,3,0,28,1,5,7,3
DE,Germany,Offenbach am Main,62,62695,119203.0,Q3042,50.1055002,8.7610698,214,49,46,63,116,22,34,30,23,10,51,23,119,12,39,62,67,0,0,5,31,18,4,17,12,4,1,12,13,2,5,17,8,13,8,3,1,5,6,5,0,2,0,0,2,19,0,5,8,2
DE,Germany,Heilbronn,63,62751,118122.0,Q715,49.142291,9.218655,1013,55,57,603,150,21,36,85,49,28,117,27,124,18,61,110,52,2,1,17,54,28,5,22,1,9,39,73,91,4,6,28,44,23,3,2,0,12,8,8,0,0,3,4,2,4,0,4,9,2
