count,description,fraction,in_wiki,value
25,,0.0,True,crucifix
25,,0.0,False,rescue_service
25,,0.0,True,fire_hydrant
25,,0.0,False,tutor
25,,0.0,False,truck_rental
25,,0.0,False,airport
25,,0.0,False,kennels
25,,0.0,False,slaughterhouse
25,,0.0,False,Bank
25,,0.0,False,swimming_pool_deck
25,,0.0,False,dog_parking
25,,0.0,False,dog_waste_station
25,,0.0,False,security_post
25,,0.0,False,outdoor_seating
24,,0.0,False,buildding
24,,0.0,True,dead_pub
24,,0.0,False,dental
24,,0.0,True,architect_office
24,,0.0,False,assisted_living
24,,0.0,False,rescue
24,,0.0,False,sloped_curb
24,,0.0,False,depot
24,,0.0,False,hide
24,,0.0,False,public_market
24,,0.0,False,dry_cleaner
23,,0.0,False,bulletin_board
23,,0.0,False,pisciculture
23,,0.0,False,stable
23,,0.0,False,smoking
23,,0.0,False,bail_bonds
23,,0.0,False,bath
23,,0.0,False,playground
23,,0.0,False,fish_hatchery
23,,0.0,False,amphitheater
23,,0.0,False,salon
23,,0.0,False,Mill
23,,0.0,False,credit_union
23,,0.0,True,air_filling
23,,0.0,False,left_luggage
22,,0.0,False,hairdresser
22,,0.0,False,computer
22,,0.0,False,SLB
22,,0.0,False,lounge
22,,0.0,False,dressing_room
22,,0.0,False,coffeeshop
22,,0.0,False,surgery
22,,0.0,False,institute
22,,0.0,False,atm;bank
22,,0.0,False,bicycle_parking;motorcycle_parking
21,,0.0,False,station
21,,0.0,False,shelter_emergency
21,,0.0,False,lift
21,,0.0,False,clothes
21,,0.0,False,port
21,,0.0,False,eau_brute
21,,0.0,False,statue
21,,0.0,False,shops
21,,0.0,False,bulding
21,,0.0,False,shelter;bench
21,,0.0,False,Temple
21,,0.0,False,tent_ground
20,,0.0,False,restaurant;fast_food
20,,0.0,False,fuel;car_wash
20,,0.0,False,civic
20,,0.0,False,security
20,,0.0,False,game_arcade
20,,0.0,False,lawyer
20,,0.0,False,bridge
20,,0.0,False,welfare
20,,0.0,False,disused:restaurant
20,,0.0,False,satellite
20,,0.0,False,beachhut
20,,0.0,False,canoe_rental
20,,0.0,False,cart_return
20,,0.0,False,radio_station
20,,0.0,False,bistro
20,,0.0,False,sports
20,,0.0,False,bingo
20,,0.0,False,place of_worship
20,,0.0,False,survey
19,,0.0,False,sorting_office
19,,0.0,False,department_store
19,,0.0,False,garagem
19,,0.0,False,notary
19,,0.0,False,camp
19,,0.0,False,dog_waste
19,,0.0,False,recreation
19,,0.0,False,power_supply
19,,0.0,False,sheltered_housing
19,,0.0,False,breeding_farm
19,,0.0,False,shared_taxi
18,,0.0,False,Lsd
18,,0.0,False,health
18,,0.0,False,trailer_rental
18,,0.0,False,animal_keeping
18,,0.0,False,public_utilites
18,,0.0,False,car
18,,0.0,False,leisure_centre
18,,0.0,False,rectory
18,,0.0,False,bird_hide
18,,0.0,False,grave
18,,0.0,False,fx_station
18,,0.0,False,lecture_hall
18,,0.0,False,stadium
18,,0.0,False,emergency_shelter
18,,0.0,False,cafe;bar
18,,0.0,False,mobile_phone
18,,0.0,False,association
18,,0.0,False,deli
18,,0.0,False,fire_beater
18,,0.0,False,CRO
18,,0.0,False,snow_removal_station
18,,0.0,False,firewood
18,,0.0,False,emergency
17,,0.0,False,tanning
17,Doctor Fish,0.0,True,fish_spa
17,,0.0,False,bathhouse
17,,0.0,False,pet
17,,0.0,False,bus_parking
17,,0.0,False,veranda
17,,0.0,False,mill
